,HC,HC1,HC2
0,1.6671251664663012,0.13506110745696415,0.2006772175547765
1,1.678125365198961,0.24154732277050595,0.29657949807306017
2,1.6597473644936698,0.11308337681505963,0.3190764102848759
3,1.6887721941491751,0.23677783619046228,0.24966441510896215
4,0.14250202729174655,0.3436576945673255,0.24047422042386063
5,1.6700704566681956,0.1824507230335719,0.17064143738452714
6,1.6813015374913798,0.2837235564310665,0.22594353183473198
7,0.22647866865748764,0.14067169225058085,0.22561453410249513
8,0.1523835757884079,0.21480766211346336,0.2408327996668769
9,0.3668241469705604,0.22715016867108434,0.2459180438395411
