,SA,SA1,SA2,SAlin,SAexp
0,1.0945074129158632,0.506249729561972,1.9103672956512487,2.009131221835921,0.9255874290839019
1,0.5488125043402823,0.7148276645077782,1.9553725379852396,0.6204494249384815,0.910734929436107
2,0.6485452978483881,0.8297223213711982,1.4930854262869753,0.7018173238779508,0.28741060978273003
3,0.8202684375441689,1.9068752677136267,0.16922946161260655,2.0566577094665606,1.172667453072672
4,1.0779505136096899,1.227634002550058,0.277671808041561,1.5385809919173317,1.5297666801835361
5,1.3288434043580204,1.9991710438068608,0.5323740899095173,2.11565596208194,1.9413177398267285
6,1.3087629826420482,0.21100390295590954,1.9981350851240745,0.9568637692571507,1.4094607785930688
7,1.9585522975923322,1.6954559438158125,0.7428036683766599,2.0417451242170754,1.0910210144677432
8,2.1394067895990303,0.9045009513714496,1.0345789450911838,1.4017829085530495,1.0365035593372622
9,0.3228028100441387,0.9833755210351289,1.061264748650712,2.058861059979505,1.0218244586862055
10,0.31751466776738624,1.713265254402561,2.000530789453714,2.0911827478240754,1.2080833811977587
11,0.9871747491017063,1.0665736778029218,1.9000799462825433,1.3733282323412737,1.448416743843811
12,0.6378092016019994,0.16436619257158083,0.5900179210943928,0.5068693846138379,1.2455134768458453
13,1.9339109342836367,0.5588146611102166,1.1717090864156063,2.114230874505983,1.237293996054915
14,1.4471962634453517,1.0537469179919539,1.1531049481002813,1.9736349728952405,1.2693647157741117
15,2.0024010330000928,1.1399177248191332,1.320401032847347,2.1013507208990747,1.166270848509817
16,0.13243978564439737,2.092916454306474,1.998758226647917,1.8314394309055981,1.106158021047406
17,0.7280287017270752,1.1917910045857567,1.0562849235171918,1.24416379300934,1.0013760003475887
18,1.0160199738882758,1.1956038096955448,0.6727252631188454,0.375332065859228,1.1458116191104135
19,0.427107281566082,2.000901845459032,0.9644600600928032,2.023159547752159,1.3714012648066634
20,1.1969644231307957,1.8320369111077024,2.028215060361937,2.2430210996906466,1.1780882030276847
21,2.0091809178418982,1.9199759555397065,1.9569860937504373,1.5646191072077102,1.0351368268682701
22,1.1553852386920087,0.6636248509679636,0.6012489718401823,1.6229614808462571,0.4113958370411676
23,0.9861856181260383,0.9016787577291061,0.9196778237946517,2.071949527725218,1.1268586636125162
24,0.5445929779563763,0.3972757023967751,1.9190597427977036,1.6396345886797046,0.35822648282340386
