,HClow,HChigh
0,1.6662563202047624,0.13980049555303642
1,1.6535162168478128,0.2848211852653729
2,1.6662998944498375,0.34815278156555274
3,1.6589144766187753,0.2557474636129889
4,1.6652795607762112,0.4305702931094231
5,1.6560461132334805,0.4296262609077881
6,1.6611683541192144,0.437708283360809
7,1.6650219255032903,0.3022247272694422
8,0.22916685020667366,0.36492646237591353
9,1.6649364672789218,0.41599841471458654
10,1.6716798223965732,1.7456671267925952
11,1.6637491296589035,0.22634084818332312
12,1.663812941985023,0.2778251904322133
13,1.6633488930977782,0.2470591244739529
14,1.667871063631525,1.6980223367774727
15,1.6485154999529823,1.665382242349179
16,1.676972660441629,0.36416455623911603
17,1.6632885874742056,0.448310447297402
18,1.6751876457651265,1.7313403514968138
19,1.6556369119094079,0.4122182143180798
20,1.663561616909778,0.44044030573983106
21,1.671481071900795,0.5058230577856621
22,1.659661445039844,0.35878617854973527
23,1.6641264847355015,0.5195409917802402
24,1.6649833483757859,0.34253453709658316
