,RMSE-avg,RMSE-best,MAE-avg,MAE-best
0,131486.52787667298,1.3111145507169053,62094.290668637455,0.9162263706843434
1,2.1914429915637115,1.090860057186372,1.6285770588443522,0.7856769250980545
2,2.0742089866773132,0.9685740699669898,1.532864051795878,0.7251261074490946
3,1.9845363933721603,0.9202718303209141,1.4424501666041,0.668377722352912
4,1.86326348244849,0.8587256620359145,1.3383955273264965,0.5977483846050374
5,1.6842512279522324,0.81043503429929,1.2182186736731968,0.5834341511297562
6,1.4499662144084347,0.7561325106791447,1.0919535820611894,0.574177124570709
7,1.2536364311030594,0.7223242639994503,0.9776384541766195,0.5622480924792089
8,1.1074244363030867,0.708161395917444,0.8825438437261602,0.5563760208365652
9,1.0050401299024176,0.6918489375261837,0.8156829781146981,0.5385977541250674
10,0.9341377536459256,0.688584267245936,0.7642034399113483,0.5216350821395694
11,0.8776887071852666,0.6746753369526232,0.7222834029281953,0.5121955983904921
12,0.8311412800808294,0.6558850545424139,0.6887304353327476,0.49892635998134194
13,0.7937356531905823,0.6434220391818403,0.6556370822907032,0.4920323950545062
14,0.7620928767055356,0.6264429680854858,0.6239898683936351,0.46187623011189705
15,0.7352866529932828,0.5935139102194819,0.5960327995502331,0.45815019094815346
16,0.710847446664797,0.5817055295708732,0.573672797695006,0.45327280906811035
17,0.6896678890204708,0.568107761875441,0.5542915488336358,0.444536055444106
18,0.6710499163479589,0.5587976583385657,0.5363363837276615,0.43169366206210785
19,0.6561673009427725,0.5555122565177886,0.5189465543057702,0.4201340291402978
20,0.6405618508661504,0.5486063035058727,0.5028065983644838,0.41070402012294194
21,0.6255365850786184,0.5399889694283869,0.48825315623387294,0.3919118257853145
22,0.6112370995752656,0.5354515757196308,0.4741365198968798,0.3822907678957726
23,0.596305553224697,0.5185716903653487,0.46015575885628274,0.37149825937990333
24,0.5844191141812012,0.5163010397393443,0.44722710480509437,0.35972620425646135
25,0.5739393547752291,0.5078680297390251,0.43505852116347143,0.35760808162457386
26,0.5634123363700102,0.4977445209971793,0.42432568915595265,0.3461148303600261
27,0.553942056990357,0.49231786955386586,0.4140521604250678,0.34341954827288074
28,0.5444409873760024,0.48980558777327543,0.4045232279230602,0.32901532409139633
29,0.5368295659852829,0.48162497754267586,0.3947135991915785,0.32839744523975
30,0.5290963746486267,0.4709809674601455,0.38548153404469143,0.32698560696678364
31,0.5219091283902639,0.446210732879427,0.37542707589831875,0.31728221183385585
32,0.5151307765171377,0.4432523542155142,0.3659307769557806,0.3093970524510459
33,0.5080243417378804,0.4420064918230508,0.35708569738787277,0.3048088497966031
34,0.5016734711334934,0.4406827076020815,0.34853740172883413,0.29947450839648165
35,0.4933783687457654,0.436626304699723,0.3404026485864177,0.2915425055677023
36,0.48502154926439195,0.43421606267592344,0.3326925931595212,0.28709048085260136
37,0.4768804850394019,0.4305891067720831,0.32458076525512136,0.279185440370724
38,0.4687496360406367,0.4204983334638618,0.3167178121865635,0.27705777387251196
39,0.46092688078746225,0.4174044532001272,0.30949646076929854,0.27177931387460286
40,0.45431849806967073,0.41162497531846837,0.30282244876393805,0.27059178220576535
41,0.44796349547144715,0.40948905822566867,0.2967333396035096,0.2700615625223458
42,0.442610625996861,0.3913888626598255,0.2902845953783678,0.2606975454267521
43,0.43725430327082854,0.3879404228777596,0.28465452381761447,0.25999400553167457
44,0.4315066716058351,0.38406061071763425,0.2802067798349891,0.25960673336581597
45,0.42643088492858033,0.3825702294737677,0.27673148203368636,0.2528866078964549
46,0.42152953233124185,0.3763958264427044,0.27303015875758324,0.2504030393283882
47,0.4161946346352275,0.37191700657132026,0.2699561627471662,0.2503914720516915
48,0.4102532456441483,0.37031115768600303,0.26713619862302507,0.25033941332070475
49,0.4035352344312645,0.3672759534519823,0.26456205318345677,0.2477839173414738
