,RMSE,MAE
0,0.1268679819753478,0.35719709813429656
1,0.4241891733966692,0.4472514677817903
2,0.3860805982949802,0.36832743740694385
3,0.30422882429909276,0.1616916264865745
4,0.28490522433933196,0.18872477106934366
5,0.3244429173857081,0.2004774253068516
6,0.4846170478262656,0.2547214465775546
7,0.16282161323944075,0.4878844139796985
8,0.44262720257971716,0.29082757556747696
9,0.15520728722421107,0.23868317154134217
10,0.2234133420441855,0.1450768397951992
11,0.22675395442568896,0.13634877224769518
12,0.30322181046052427,0.17302049802008135
13,0.3763065671807976,0.1333231070938926
14,0.32690050421112354,0.278008304653526
15,0.20387290011033876,0.1922969627922248
16,0.2776349791840118,0.400964270386044
17,0.678904307327439,0.16909885776596456
18,0.6089754809946134,0.17688368390496353
19,0.5586542528049191,0.08043845950391917
20,0.17890214241992486,0.21469360834194662
21,0.6361281358418166,0.22045788823950407
22,0.5171138464638663,0.12158495532439964
23,0.48787337517894525,0.26709090634187616
24,0.2449687685896337,0.41991045669765176
